created_at,indexed_at,text,author_handle,author_display_name,author_did,like_count,repost_count,reply_count,uri,cid,financial_score,top_topics,top_scores
2026-05-01T14:35:14Z,2026-05-01T14:35:16.576Z,dogecoin 0104 flip bullish milestone or highrisk bull trap the price action was at a crucial point the direction of the next swing move will be determined in the 01170127 area source link,a-lismath.bsky.social,,did:plc:yaqmdr5dptgmi6efjwc5ufjk,0,0,0,at://did:plc:yaqmdr5dptgmi6efjwc5ufjk/app.bsky.feed.post/3mksdyoxooq2x,bafyreigqvqtf6fn5oxjldhlfqlrcmeinf4cqrpuakpqbk4u2dn6uxz7dle,0.6258748769760132,"['crypto', 'portfolio']","[0.6258748769760132, 0.624710738658905]"
2026-05-01T14:35:09Z,2026-05-01T14:35:10.378Z,dogecoin 0104 flip bullish milestone or highrisk bull trap the price action was at a crucial point the direction of the next swing move will be determined in the 01170127 area source link,tyo0.bsky.social,,did:plc:ffmkmgnvmvo22ucbrn4yfqr2,0,0,0,at://did:plc:ffmkmgnvmvo22ucbrn4yfqr2/app.bsky.feed.post/3mksdyj5eic2q,bafyreihjpvtcrmrtmkubq4sgpb7zou4jhkpc5lacvhayjml5v6hkbopmju,0.6258748769760132,"['crypto', 'portfolio']","[0.6258748769760132, 0.624710738658905]"
2026-05-01T12:03:13.475Z,2026-05-01T12:03:13.675Z,kind of the wrong question to ask since theres no such bar there was never a bar called cheers when the show was on the replica tourist trap mercifully closed ive never met anyone who actually had a drink at the bull finch renamed cheers that was the inspiration its really a shirt shop,thedrewstarr.bsky.social,Drew Starr,did:plc:6wln2gvfa4zgmzvli4j47vfs,0,0,0,at://did:plc:6wln2gvfa4zgmzvli4j47vfs/app.bsky.feed.post/3mks3ismchs2w,bafyreiet665w64xq7m6pybfhuuvbepy2ofaydrrtbkj3badltcbfcc5zy4,0.5419912934303284,"['equities', 'portfolio']","[0.5419912934303284, 0.4915162920951843]"
2026-04-30T15:19:00.602Z,2026-04-30T15:19:04.973Z,first fed chair with a 100m crypto portfolio takes over may 15 btc has dropped after 8 of the last 9 fomc decisions bull trap or the best macro handoff bitcoin has ever had bitcoin crypto bigcoinreport,bigcoinreport.bsky.social,The Big Coin Report,did:plc:52b6rdhstc5sweemr4oey4bc,0,0,0,at://did:plc:52b6rdhstc5sweemr4oey4bc/app.bsky.feed.post/3mkpvxzsjnb2g,bafyreifr3r2hxfhac2cfnu3426kigrqpc2rkg7kpcxivxzore4zs74lvly,0.7240653038024902,"['crypto', 'macro']","[0.7240653038024902, 0.6203294992446899]"
2026-04-29T13:01:14.744Z,2026-04-29T13:01:18.373Z,2280 is done eth descending wedge broke floor cracked no bounce no fight clean bearish closes stacking momentum still down 2250 magnet 2350 bear trap line 70 bear 30 bull not a coin flip eth ethereum bearishbreak technicalanalysis,versa-off.bsky.social,VERSA,did:plc:k76oqdhg5erhiqedtf2dg7c4,0,0,0,at://did:plc:k76oqdhg5erhiqedtf2dg7c4/app.bsky.feed.post/3mkn5sppask2e,bafyreig44wzfmci3r57gmedmprikc2aqhsype4r5rx6g7ndx5ya3y56a3m,0.6561372876167297,"['crypto', 'equities']","[0.6561372876167297, 0.6203573942184448]"
2026-04-27T11:01:29.643707Z,2026-04-27T11:01:29.854Z,extreme fear 12 grips crypto yet btc surges 42 to 73769 eth 46 to 2298 a fascinating disconnect between sentiment and price action is this a buying opportunity or a bull trap accumulation at 18 signalslucileadcom,lucilead-signals.bsky.social,,did:plc:7g554yquiy5fgdztdjk2pq5y,0,0,0,at://did:plc:7g554yquiy5fgdztdjk2pq5y/app.bsky.feed.post/3mkhw6qlhjd2g,bafyreiehvuaarc4v7dgigppodu2efrliautf7wr4zhzpr3lvurul6xpzgi,0.7118825316429138,"['crypto', 'derivatives']","[0.7118825316429138, 0.6320617198944092]"
2026-04-27T00:46:22.537Z,2026-04-27T00:46:23.655Z,gosh that smile is infectious would honestly kiss those lips and trap my face against your moobs belly pits lips again then let that fat mushroom musky grandpa cock and giant bull balls work my tongue and boy hole,sor-en.bsky.social,Soren,did:plc:fd3r4lgjtwfkzpvqrrqxonk5,0,0,0,at://did:plc:fd3r4lgjtwfkzpvqrrqxonk5/app.bsky.feed.post/3mkgtst5tdc2u,bafyreiduxedcvjafasl4e2mkmgit5eeg5zbzdx5e2voawkvpzcefgl6fbu,0.5205578207969666,"['macro', 'derivatives']","[0.5205578207969666, 0.5106232166290283]"
2026-04-26T16:17:23Z,2026-04-26T16:17:26.462Z,duos tech growing revenue 5475x on govt borderport automation contracts compelling bull case but that 95x debttoequity ratio negative fcf have me throwing bananas at the valuation growth trap or golden opportunity thread below monkeymomentum,trainedmonkey.bsky.social,Maurice the Monkey,did:plc:kfqiuwt7n6432hxajbmajfc6,2,0,0,at://did:plc:kfqiuwt7n6432hxajbmajfc6/app.bsky.feed.post/3mkfxeqxbgp2o,bafyreiguac2oxthesg3p3ylqud327i2azkyrhh6qvlwbxm2ubumt2ecxzm,0.6428169012069702,"['crypto', 'macro']","[0.6428169012069702, 0.6227284073829651]"
2026-04-26T08:42:14.252Z,2026-04-26T08:42:20.454Z,is this rally a bull trap,talkmarkets.bsky.social,TalkMarkets,did:plc:cjh4qstcdf3kjcktagkzelpv,0,0,0,at://did:plc:cjh4qstcdf3kjcktagkzelpv/app.bsky.feed.post/3mkf5wsqbj22o,bafyreibxpzmrrv4idars7a6niof2xjmdn344dql3mnegsrw7kiqf5wrwti,0.6055868268013,"['equities', 'portfolio']","[0.6055868268013, 0.5726172924041748]"
2026-04-26T03:02:19.779Z,2026-04-26T03:02:19.955Z,this regulatory pivot is seen as a green light for institutional capital potentially pushing bitcoin prices past 80000 despite some analysts warning of a possible bull trap based on historical patterns,rwatimes.bsky.social,RWATimes.io,did:plc:553eofo6hvuxcsxo7qfidxjs,0,0,0,at://did:plc:553eofo6hvuxcsxo7qfidxjs/app.bsky.feed.post/3mkekwz4ipb2h,bafyreihp7pkn3e5a7tgkuhqyr2lz7f7bgulxroihqabys2bhzjidt5t7mm,0.7022525072097778,"['crypto', 'macro']","[0.7022525072097778, 0.6492117643356323]"
2026-04-25T17:01:37.152Z,2026-04-25T18:32:40.759Z,weekly market recap is this rally a bull trap lance roberts is a pullback lurking,adamtaggart.skystack.xyz,Adam Taggart's Thoughtful Money®,did:plc:zjtyd7zdqyy6cz2kuu22utr3,0,0,0,at://did:plc:zjtyd7zdqyy6cz2kuu22utr3/app.bsky.feed.post/3mkdohnipfs2n,bafyreicbbdav5x6p23yp6hyacehda7gmjjdygnm6emyjciuqcs6p4nrthq,0.6426514983177185,"['portfolio', 'equities']","[0.6426514983177185, 0.6423741579055786]"
2026-04-23T18:54:30.641Z,2026-04-23T18:54:30.856Z,the news of meta and microsoft layoffs is confirming what i thought a big tech bull trap many workers are still under the impression tech jobs are good as they pay well but ignore the physical emotional psychological and spiritual costs even as they get continually squeezed,thejaimewoo.bsky.social,Jaime Woo,did:plc:z5sywurzwd4ptzcym4cmfupf,5,0,0,at://did:plc:z5sywurzwd4ptzcym4cmfupf/app.bsky.feed.post/3mk6oquvmg222,bafyreic24odpyd3qjxq2w5zy35phdnr5jf7v34qjfdcrc6bmjvkuqc2yyq,0.5986810922622681,"['macro', 'equities']","[0.5986810922622681, 0.5582947731018066]"
2026-04-23T14:58:06.399Z,2026-04-23T14:58:06.758Z,bull trap rug pull imminent,shepdogg69.bsky.social,,did:plc:6bi36kuzomjxesua5s4tipqb,0,0,0,at://did:plc:6bi36kuzomjxesua5s4tipqb/app.bsky.feed.post/3mk6bk5qvlk22,bafyreifwv6vjabovz7nchc7a63wq3plwqpacnbydgjr6i3dulns47xuiiu,0.5714771151542664,"['equities', 'portfolio']","[0.5714771151542664, 0.5641191601753235]"
2026-04-23T08:04:39.000Z,2026-04-23T08:05:40.758Z,bitcoin roste ale hroz bull trap instituce nakupuj rozhoduj c chv le p ich z,kryptomagazincz.zpravobot.news.ap.brid.gy,KryptomagazinCZ :bot:,did:plc:kwi63leju3fikdn6hbxlu347,0,0,0,at://did:plc:kwi63leju3fikdn6hbxlu347/app.bsky.feed.post/3mk5kgxavzsl2,bafyreib4ltcdvcak6iou2lzvzrvxld3w3jpaz2fxu4xasqbpau5tarlui4,0.653031587600708,"['crypto', 'forex']","[0.653031587600708, 0.5563439130783081]"
2026-04-23T06:01:40.080Z,2026-04-23T06:01:44.059Z,my 2026 bull run prediction february bear trap march bitcoin breakout april altcoin season may new ath around approximately 215k june bull trap july liquidation flood world august bear market kicks in keep in mind for more than 10 years accurately,murahmeriah343.bsky.social,Bitcoin update,did:plc:wq2on7swifwetvyggsyoe2v3,1,0,1,at://did:plc:wq2on7swifwetvyggsyoe2v3/app.bsky.feed.post/3mk5dkwilcc2u,bafyreicdkug5pcowx3n4xho2dhmdczk76z6oez2ve2ywgavh5sfhrcatvq,0.6841951608657837,"['crypto', 'equities']","[0.6841951608657837, 0.6342543959617615]"
